"행정구역","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율"
"서울특별시  (1100000000)","9,494,807","4,464,840","          2.13","4,605,655","4,889,152","          0.94"
"서울특별시 종로구 (1111000000)","143,624","73,728","          1.95","69,513","74,111","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,803","5,210","          2.27","5,430","6,373","          0.85"
"서울특별시 종로구 사직동(1111053000)","9,310","4,674","          1.99","4,154","5,156","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,386","1,193","          2.00","1,130","1,256","          0.90"
"서울특별시 종로구 부암동(1111055000)","9,432","4,235","          2.23","4,490","4,942","          0.91"
"서울특별시 종로구 평창동(1111056000)","17,963","7,438","          2.42","8,368","9,595","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,150","3,060","          2.66","3,782","4,368","          0.87"
"서울특별시 종로구 교남동(1111058000)","9,947","4,432","          2.24","4,580","5,367","          0.85"
"서울특별시 종로구 가회동(1111060000)","4,026","1,988","          2.03","1,846","2,180","          0.85"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,199","5,294","          1.36","4,270","2,929","          1.46"
"서울특별시 종로구 종로5.6가동(1111063000)","5,056","3,411","          1.48","2,685","2,371","          1.13"
"서울특별시 종로구 이화동(1111064000)","7,231","4,369","          1.66","3,431","3,800","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,369","9,309","          1.76","7,865","8,504","          0.92"
"서울특별시 종로구 창신제1동(1111067000)","4,857","2,855","          1.70","2,601","2,256","          1.15"
"서울특별시 종로구 창신제2동(1111068000)","7,837","4,044","          1.94","4,028","3,809","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,496","2,800","          2.32","3,191","3,305","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,835","2,993","          1.95","2,819","3,016","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,727","6,423","          1.51","4,843","4,884","          0.99"
"서울특별시 중구 (1114000000)","122,088","63,958","          1.91","59,364","62,724","          0.95"
"서울특별시 중구 소공동(1114052000)","2,237","1,303","          1.72","1,073","1,164","          0.92"
"서울특별시 중구 회현동(1114054000)","4,733","2,697","          1.75","2,452","2,281","          1.07"
"서울특별시 중구 명동(1114055000)","2,889","1,560","          1.85","1,259","1,630","          0.77"
"서울특별시 중구 필동(1114057000)","4,036","2,498","          1.62","2,079","1,957","          1.06"
"서울특별시 중구 장충동(1114058000)","4,639","2,851","          1.63","2,427","2,212","          1.10"
"서울특별시 중구 광희동(1114059000)","5,295","3,453","          1.53","2,676","2,619","          1.02"
"서울특별시 중구 을지로동(1114060500)","1,737","1,352","          1.28","1,055","682","          1.55"
"서울특별시 중구 신당동(1114061500)","7,748","4,840","          1.60","3,795","3,953","          0.96"
"서울특별시 중구 다산동(1114062500)","13,710","6,926","          1.98","6,654","7,056","          0.94"
"서울특별시 중구 약수동(1114063500)","16,547","7,843","          2.11","7,665","8,882","          0.86"
"서울특별시 중구 청구동(1114064500)","13,432","6,280","          2.14","6,380","7,052","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,284","5,385","          1.91","4,988","5,296","          0.94"
"서울특별시 중구 동화동(1114066500)","10,159","4,065","          2.50","4,884","5,275","          0.93"
"서울특별시 중구 황학동(1114067000)","12,649","7,216","          1.75","6,011","6,638","          0.91"
"서울특별시 중구 중림동(1114068000)","11,993","5,689","          2.11","5,966","6,027","          0.99"
"서울특별시 용산구 (1117000000)","222,263","111,860","          1.99","106,743","115,520","          0.92"
"서울특별시 용산구 후암동(1117051000)","16,636","8,436","          1.97","8,110","8,526","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","9,322","5,229","          1.78","4,503","4,819","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,260","5,156","          1.41","4,419","2,841","          1.56"
"서울특별시 용산구 청파동(1117055500)","19,309","11,186","          1.73","8,987","10,322","          0.87"
"서울특별시 용산구 원효로제1동(1117056000)","16,530","8,762","          1.89","7,720","8,810","          0.88"
"서울특별시 용산구 원효로제2동(1117057000)","13,712","6,063","          2.26","6,456","7,256","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,705","4,669","          2.29","5,088","5,617","          0.91"
"서울특별시 용산구 용문동(1117059000)","11,717","5,389","          2.17","5,632","6,085","          0.93"
"서울특별시 용산구 한강로동(1117062500)","21,602","11,641","          1.86","10,257","11,345","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","25,641","9,532","          2.69","12,022","13,619","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,194","3,671","          2.23","3,827","4,367","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","6,308","3,611","          1.75","3,085","3,223","          0.96"
"서울특별시 용산구 이태원제2동(1117066000)","8,898","4,937","          1.80","4,095","4,803","          0.85"
"서울특별시 용산구 한남동(1117068500)","20,247","10,927","          1.85","9,758","10,489","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","12,979","5,315","          2.44","6,220","6,759","          0.92"
"서울특별시 용산구 보광동(1117070000)","13,203","7,336","          1.80","6,564","6,639","          0.99"
"서울특별시 성동구 (1120000000)","283,821","134,327","          2.11","138,162","145,659","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","16,320","7,392","          2.21","7,890","8,430","          0.94"
"서울특별시 성동구 왕십리도선동(1120053500)","26,534","12,087","          2.20","12,555","13,979","          0.90"
"서울특별시 성동구 마장동(1120054000)","22,282","11,053","          2.02","10,978","11,304","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,109","8,201","          1.48","6,277","5,832","          1.08"
"서울특별시 성동구 행당제1동(1120056000)","13,893","6,526","          2.13","6,670","7,223","          0.92"
"서울특별시 성동구 행당제2동(1120057000)","23,100","9,211","          2.51","10,802","12,298","          0.88"
"서울특별시 성동구 응봉동(1120058000)","15,199","6,036","          2.52","7,258","7,941","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","15,081","6,506","          2.32","7,184","7,897","          0.91"
"서울특별시 성동구 금호2.3가동(1120061500)","22,459","10,064","          2.23","10,668","11,791","          0.90"
"서울특별시 성동구 금호4가동(1120062000)","14,245","6,343","          2.25","6,741","7,504","          0.90"
"서울특별시 성동구 옥수동(1120064500)","25,801","10,818","          2.39","11,985","13,816","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","16,392","7,746","          2.12","8,175","8,217","          0.99"
"서울특별시 성동구 성수1가제2동(1120066000)","12,323","6,041","          2.04","6,047","6,276","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","15,608","8,128","          1.92","8,154","7,454","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","10,657","5,558","          1.92","5,345","5,312","          1.01"
"서울특별시 성동구 송정동(1120072000)","10,343","5,569","          1.86","5,463","4,880","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,475","7,048","          1.63","5,970","5,505","          1.08"
"서울특별시 광진구 (1121500000)","339,893","169,856","          2.00","163,920","175,973","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,723","18,384","          1.29","11,296","12,427","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,496","11,408","          1.71","9,652","9,844","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,306","8,347","          1.83","7,394","7,912","          0.93"
"서울특별시 광진구 중곡제2동(1121575000)","21,220","10,681","          1.99","10,002","11,218","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","16,066","8,548","          1.88","7,972","8,094","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,262","13,134","          2.15","13,811","14,451","          0.96"
"서울특별시 광진구 능동(1121578000)","11,294","6,477","          1.74","5,218","6,076","          0.86"
"서울특별시 광진구 광장동(1121581000)","34,349","11,882","          2.89","16,631","17,718","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,101","12,001","          1.84","10,730","11,371","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","24,273","10,973","          2.21","11,764","12,509","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,775","11,097","          2.50","13,298","14,477","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","18,019","10,173","          1.77","8,959","9,060","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","23,254","12,984","          1.79","11,084","12,170","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,311","11,604","          2.27","12,654","13,657","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,444","12,163","          2.34","13,455","14,989","          0.90"
"서울특별시 동대문구 (1123000000)","337,330","169,931","          1.99","166,348","170,982","          0.97"
"서울특별시 동대문구 용신동(1123053600)","32,711","19,622","          1.67","16,318","16,393","          1.00"
"서울특별시 동대문구 제기동(1123054500)","24,523","13,559","          1.81","12,564","11,959","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,912","14,836","          1.95","14,483","14,429","          1.00"
"서울특별시 동대문구 전농제2동(1123057000)","18,397","7,624","          2.41","8,828","9,569","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","28,899","13,163","          2.20","13,920","14,979","          0.93"
"서울특별시 동대문구 답십리제2동(1123061000)","27,993","12,569","          2.23","13,577","14,416","          0.94"
